자치구,합계,초등학교,유치원,어린이집,특수학교,학원,외국인학교,대안학교,년도
종로구, 46 , 13 , 14 , 15 , 3 , - , 1 , - ,2023
중구, 42 , 12 , 11 , 18 , - , - , 1 , - ,2023
용산구, 37 , 15 , 13 , 7 , - , - , 2 , - ,2023
성동구, 50 , 21 , 17 , 12 , - , - , - , - ,2023
광진구, 68 , 21 , 23 , 21 , 1 , - , 2 , - ,2023
동대문구, 74 , 20 , 16 , 38 , - , - , - , - ,2023
중랑구, 41 , 23 , 12 , 6 , - , - , - , - ,2023
성북구, 101 , 29 , 41 , 30 , 1 , - , - , - ,2023
강북구, 39 , 14 , 7 , 14 , 4 , - , - , - ,2023
도봉구, 64 , 23 , 17 , 23 , 1 , - , - , - ,2023
노원구, 116 , 42 , 39 , 13 , 2 , 20 , - , - ,2023
은평구, 68 , 30 , 25 , 12 , 1 , - , - , - ,2023
서대문구, 39 , 19 , 15 , 4 , - , - , 1 , - ,2023
마포구, 51 , 22 , 18 , 10 , - , - , 1 , - ,2023
양천구, 87 , 30 , 27 , 27 , - , 3 , - , - ,2023
강서구, 88 , 35 , 24 , 25 , 2 , 2 , - , - ,2023
구로구, 58 , 26 , 16 , 13 , 2 , - , - , 1 ,2023
금천구, 44 , 18 , 6 , 20 , - , - , - , - ,2023
영등포구, 68 , 23 , 29 , 16 , - , - , - , - ,2023
동작구, 63 , 21 , 20 , 16 , 1 , 5 , - , - ,2023
관악구, 69 , 22 , 23 , 14 , 2 , 8 , - , - ,2023
서초구, 92 , 24 , 19 , 43 , 2 , 1 , 3 , - ,2023
강남구, 111 , 33 , 20 , 39 , 2 , 17 , - , - ,2023
송파구, 98 , 41 , 31 , 25 , 1 , - , - , - ,2023
강동구, 86 , 29 , 25 , 27 , 2 , 3 , - , - ,2023
종로구, 44 , 13 , 13 , 14 , 3 , - , 1 , - ,2024
중구, 42 , 12 , 11 , 18 , - , - , 1 , - ,2024
용산구, 37 , 15 , 13 , 7 , - , - , 2 , - ,2024
성동구, 50 , 21 , 17 , 12 , - , - , - , - ,2024
광진구, 66 , 21 , 22 , 20 , 1 , - , 2 , - ,2024
동대문구, 75 , 20 , 16 , 39 , - , - , - , - ,2024
중랑구, 42 , 24 , 12 , 6 , - , - , - , - ,2024
성북구, 99 , 29 , 41 , 28 , 1 , - , - , - ,2024
강북구, 36 , 14 , 7 , 11 , 4 , - , - , - ,2024
도봉구, 63 , 23 , 17 , 22 , 1 , - , - , - ,2024
노원구, 116 , 42 , 39 , 13 , 2 , 20 , - , - ,2024
은평구, 67 , 30 , 25 , 11 , 1 , - , - , - ,2024
서대문구, 37 , 19 , 13 , 4 , - , - , 1 , - ,2024
마포구, 51 , 22 , 18 , 10 , - , - , 1 , - ,2024
양천구, 87 , 30 , 27 , 28 , - , 2 , - , - ,2024
강서구, 88 , 35 , 24 , 25 , 2 , 2 , - , - ,2024
구로구, 56 , 26 , 16 , 11 , 2 , - , - , 1 ,2024
금천구, 44 , 18 , 6 , 20 , - , - , - , - ,2024
영등포구, 66 , 23 , 29 , 14 , - , - , - , - ,2024
동작구, 61 , 21 , 17 , 17 , 1 , 5 , - , - ,2024
관악구, 69 , 22 , 23 , 14 , 2 , 8 , - , - ,2024
서초구, 93 , 24 , 19 , 44 , 2 , 1 , 3 , - ,2024
강남구, 108 , 33 , 19 , 37 , 2 , 17 , - , - ,2024
송파구, 98 , 41 , 31 , 25 , 1 , - , - , - ,2024
강동구, 85 , 29 , 25 , 26 , 2 , 3 , - , - ,2024
종로구, 45 , 13 , 14 , 14 , 3 , - , 1 , - ,2025
중구, 42 , 12 , 10 , 19 , - , - , 1 , - ,2025
용산구, 35 , 14 , 13 , 6 , - , - , 2 , - ,2025
성동구, 48 , 21 , 16 , 11 , - , - , - , - ,2025
광진구, 64 , 21 , 22 , 18 , 1 , - , 2 , - ,2025
동대문구, 72 , 20 , 16 , 36 , - , - , - , - ,2025
중랑구, 42 , 24 , 12 , 6 , - , - , - , - ,2025
성북구, 98 , 29 , 41 , 27 , 1 , - , - , - ,2025
강북구, 35 , 14 , 6 , 10 , 4 , - , - , 1 ,2025
도봉구, 64 , 23 , 17 , 23 , 1 , - , - , - ,2025
노원구, 115 , 42 , 38 , 13 , 2 , 20 , - , - ,2025
은평구, 68 , 30 , 25 , 12 , 1 , - , - , - ,2025
서대문구, 37 , 19 , 13 , 4 , - , - , 1 , - ,2025
마포구, 52 , 22 , 18 , 10 , - , - , 1 , 1 ,2025
양천구, 82 , 30 , 26 , 26 , - , - , - , - ,2025
강서구, 88 , 35 , 23 , 24 , 2 , 2 , - , 2 ,2025
구로구, 56 , 26 , 16 , 11 , 2 , - , - , 1 ,2025
금천구, 43 , 18 , 5 , 20 , - , - , - , - ,2025
영등포구, 64 , 23 , 27 , 14 , - , - , - , - ,2025
동작구, 60 , 21 , 16 , 17 , 1 , 5 , - , - ,2025
관악구, 68 , 22 , 22 , 14 , 2 , 8 , - , - ,2025
서초구, 92 , 23 , 19 , 44 , 2 , 1 , 3 , - ,2025
강남구, 104 , 33 , 18 , 37 , 2 , 14 , - , - ,2025
송파구, 98 , 41 , 31 , 25 , 1 , - , - , - ,2025
강동구, 86 , 29 , 26 , 26 , 2 , 3 , - , - ,2025
